IP,timestamp,HTTP_method,request_path,status_code,content_length
192.168.1.1,2024-03-01 10:00:00,GET,/home,200,1024
192.168.1.2,2024-03-01 10:00:01,POST,/login,401,512
192.168.1.3,2024-03-01 11:15:30,GET,/products,200,2048
192.168.1.4,2024-03-01 12:30:45,PUT,/update,204,128
192.168.1.5,2024-03-01 13:45:00,DELETE,/remove,200,64
192.168.1.1,2024-03-01 14:00:10,GET,/profile,200,256
192.168.1.2,2024-03-01 15:30:20,POST,/cart,201,512
192.168.1.3,2024-03-01 16:45:15,PUT,/settings,204,256
192.168.1.4,2024-03-01 17:05:00,GET,/home,200,1024
192.168.1.5,2024-03-01 18:10:45,POST,/login,401,512
192.168.1.1,2024-03-01 19:20:30,DELETE,/remove,200,64
192.168.1.2,2024-03-01 20:00:00,GET,/dashboard,200,2048

