P M time
8 262144 0.084636
8 262144 0.182946
8 262144 0.142760
8 262144 0.198818
8 262144 0.233305
8 1048576 0.468815
8 1048576 0.449772
8 1048576 0.420069
8 1048576 0.384387
8 1048576 0.477381

16 262144 0.358602
16 262144 0.393226
16 262144 0.417920
16 262144 0.432868
16 262144 0.442902
16 1048576 0.683512
16 1048576 0.680439
16 1048576 0.720203
16 1048576 0.692001
16 1048576 0.707223

32 262144 0.666281
32 262144 0.806323
32 262144 0.775656
32 262144 0.740525
32 262144 0.772825
32 1048576 1.051058
32 1048576 1.045012
32 1048576 1.067497
32 1048576 1.084412
32 1048576 1.034724
